username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
EvelincitaY,2023-10-11 02:24:06+00:00,"@BArevalodeLeon @traficogt Sentando presentes está q cualquier persona q sea investigada X posible comisión de delitos puede realizar bloqueos y ""manifestar pacíficamente"" p/ pedir renuncia de quien lo esté investigando, incluidos delitos graves de narcotráfico, lavado de dinero, etc",0,0,2,,"BArevalodeLeon, traficogt",42.0
ArieFialko,2023-10-11 02:21:03+00:00,@traficogt A webo. El barco se les hunde. Ya se nota sedición en el MP. En cualquier rato algún digno destapa la olla de grillos. Se hoy en pasos de elefante.,0,0,0,,traficogt,78.0
curielcuriel8,2023-10-11 02:19:17+00:00,@lahoragt @traficogt Es una burla lo que hacen.  Nada nuevo por cierto https://t.co/oak0xAdyrV,0,0,0,,"lahoragt, traficogt",10.0
IoVittor,2023-10-11 01:52:02+00:00,@MarielosMonzon @traficogt @48_CantonesToto @vocsindigenasgt @autoridadesgt @JLFont001 @JSandoval1982 @ThelmaAldana @cmendeza @festivalesgt @justiciayagt @AlianzaRgt https://t.co/xIAgg6Ng2J,1,0,1,,"MarielosMonzon, traficogt, 48_CantonesToto, vocsindigenasgt, autoridadesgt, JLFont001, JSandoval1982, ThelmaAldana, cmendeza, festivalesgt, justiciayagt, AlianzaRgt",22.0
IoVittor,2023-10-11 01:51:22+00:00,@MarielosMonzon @traficogt @48_CantonesToto @vocsindigenasgt @autoridadesgt @JLFont001 @JSandoval1982 @ThelmaAldana @cmendeza @festivalesgt @justiciayagt @AlianzaRgt https://t.co/vjELUabWHQ,0,0,1,,"MarielosMonzon, traficogt, 48_CantonesToto, vocsindigenasgt, autoridadesgt, JLFont001, JSandoval1982, ThelmaAldana, cmendeza, festivalesgt, justiciayagt, AlianzaRgt",22.0
IoVittor,2023-10-11 01:51:14+00:00,@MarielosMonzon @traficogt @48_CantonesToto @vocsindigenasgt @autoridadesgt @JLFont001 @JSandoval1982 @ThelmaAldana @cmendeza @festivalesgt @justiciayagt @AlianzaRgt https://t.co/2Pk19Mxa6s,0,0,0,,"MarielosMonzon, traficogt, 48_CantonesToto, vocsindigenasgt, autoridadesgt, JLFont001, JSandoval1982, ThelmaAldana, cmendeza, festivalesgt, justiciayagt, AlianzaRgt",20.0
IoVittor,2023-10-11 01:51:06+00:00,"@MarielosMonzon @traficogt @48_CantonesToto @vocsindigenasgt @autoridadesgt @JLFont001 @JSandoval1982 @ThelmaAldana @cmendeza @festivalesgt @justiciayagt @AlianzaRgt Por mandato ella no puede renunciar, ya se olvidó esto. https://t.co/ODNBVqgqHw",0,0,0,,"MarielosMonzon, traficogt, 48_CantonesToto, vocsindigenasgt, autoridadesgt, JLFont001, JSandoval1982, ThelmaAldana, cmendeza, festivalesgt, justiciayagt, AlianzaRgt",22.0
Enascenso2019,2023-10-11 01:50:28+00:00,@traficogt @LuisvonAhn @DrGiammattei Es arbitro,0,0,0,,"traficogt, LuisvonAhn, DrGiammattei",61.0
traficogt,2023-10-11 01:43:07+00:00,Hay que involucrar e integrar a los pueblos originarios.  Han dado lección de civismo. Juntos haremos de Guatemala un mejor país.,0,3,26,,,4143.0
PrensaComunitar,2023-10-11 01:33:55+00:00,"#GuateResiste ✊🏽 Se necesita Asamblea Nacional Constituyente 

En San Marcos la ciudadanía que manifiesta expresa que no se resuelven los problemas en el país solo con la renuncia de Consuelo Porras, se requiere de una Asamblea Nacional Constituyente que involucre a los pueblos originarios. 

📸 Omar Pérez",6,35,100,GuateResiste,,15292.0
